Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
288000,2022,Automatique,diesel,BMW,X1,5,Oui,Excellent,92499,8
98000,2007,Manuelle,essence,Mini,Mini Coupé,3,Oui,Très bon,42499,9
142000,2021,Automatique,essence,Fiat,500C,3,Non,Excellent,87499,7
150000,2019,Automatique,diesel,Jeep,Grand Cherokee,5,Non,Excellent,124999,12
158000,2016,Manuelle,diesel,Nissan,Qashqai,5,Oui,Bon,97499,6
295000,2016,Automatique,diesel,Mercedes-Benz,Classe GLC,5,Oui,Très bon,104999,9
188000,2020,Automatique,diesel,Peugeot,308,5,Oui,Excellent,67499,6
102000,2018,Manuelle,diesel,Dacia,Logan,5,Oui,Très bon,104999,6
220000,2022,Automatique,diesel,Renault,Megane,5,Oui,Excellent,52499,6
115000,2011,Automatique,diesel,BMW,X5,5,Oui,Excellent,224999,12
28000,2002,Manuelle,diesel,Fiat,Palio,5,Non,Bon,224999,7
360000,2015,Automatique,diesel,Porsche,Cayenne,5,Oui,Excellent,144999,12
140000,2023,Manuelle,diesel,Citroen,C-Elysée,5,Oui,Neuf,104999,6
298000,2019,Automatique,diesel,Volkswagen,Tiguan,5,Oui,Bon,77499,8
173000,2022,Manuelle,diesel,Opel,Corsa,5,Oui,Excellent,27499,6
62000,2006,Manuelle,diesel,Citroen,Xsara,5,Non,Très bon,374999,6
205000,2022,Automatique,diesel,Renault,Megane,5,Oui,Excellent,92499,6
230000,2017,Automatique,diesel,Volvo,XC90,5,Oui,Excellent,164999,8
138000,2022,Manuelle,diesel,Dacia,Logan,5,Non,Bon,37499,6
148000,2017,Manuelle,diesel,Ford,Focus,5,Non,Très bon,134999,6
370000,2019,Automatique,diesel,BMW,X4,5,Oui,Très bon,114999,8
255000,2018,Automatique,diesel,Land Rover,Range Rover Evoque,5,Oui,Bon,114999,8
235000,2021,Automatique,hybride,Toyota,C-HR,5,Oui,Bon,37499,10
176000,2019,Automatique,hybride,Toyota,Corolla,5,Oui,Très bon,134999,10
73000,2009,Manuelle,diesel,Opel,Astra,5,Oui,Excellent,224999,7
259000,2018,Automatique,diesel,Mercedes-Benz,Classe CLA,5,Oui,Excellent,42499,6
350000,2019,Automatique,diesel,Audi,Q5,5,Non,Excellent,174999,8
460000,2019,Automatique,diesel,Land Rover,Range Rover,5,Oui,Excellent,144999,12
135000,2012,Automatique,diesel,Volvo,XC60,5,Oui,Très bon,224999,8
119000,2011,Automatique,diesel,Audi,A3,5,Non,Très bon,274999,8
128000,2019,Automatique,diesel,Renault,Clio,5,Oui,Excellent,184999,6
245000,2016,Automatique,diesel,Jaguar,XE,5,Non,Excellent,104999,8
235000,2019,Automatique,diesel,Alfa Romeo,Stelvio,5,Non,Très bon,92499,9
117000,2019,Manuelle,diesel,Citroen,C3,5,Non,Excellent,184999,6
88000,2014,Manuelle,diesel,Peugeot,301,5,Non,Excellent,224999,6
